id,perturbation_type,original_answer,perturbed_answer,original_pred,perturbed_pred,original_correct,perturbed_correct,consistent,pdr
0,numerical substitution,18,27,18,27,True,True,False,0
8,numerical substitution,3,4.5,3,4.5,True,True,False,0
16,numerical substitution,70000,75000,65000,75000,False,True,False,-1
24,numerical substitution,540,1600,180,100,False,False,False,0
32,numerical substitution,20,50,25,4,False,False,False,0
40,numerical substitution,64,90,64.,720.,True,False,False,1
48,numerical substitution,260,195,260,195,True,True,False,0
56,numerical substitution,160,180,100,160,False,False,False,0
64,numerical substitution,45,230,315,150,False,False,False,0
72,numerical substitution,460,862.5,460.,862.5,True,True,False,0
80,numerical substitution,366,656,366,656,True,True,False,0
88,numerical substitution,694,855,100.,40,False,False,False,0
96,numerical substitution,13,17,12,16,False,False,False,0
104,numerical substitution,18,18,18,24,True,False,False,1
112,numerical substitution,60,56,60,56,True,True,False,0
120,numerical substitution,125,245,125.,132.,True,False,False,1
128,numerical substitution,230,180,3,180,False,True,False,-1
136,numerical substitution,57500,65250,57500.,65250.,True,True,False,0
144,numerical substitution,7,3.5,4,3.5,False,True,False,-1
152,numerical substitution,6,11,4,20,False,False,False,0
160,numerical substitution,15,30,3,3,False,False,True,0
168,numerical substitution,14,18,14,2,True,False,False,1
176,numerical substitution,7,12,7,12,True,True,False,0
184,numerical substitution,8,12,00,00,False,False,True,0
192,numerical substitution,26,22.5,26.,22.50,True,True,False,0
200,numerical substitution,2,4,5,15.,False,False,False,0
208,numerical substitution,243,321,243.,321.,True,True,False,0
216,numerical substitution,16,25,60,225.00,False,False,False,0
224,numerical substitution,25,15,25,15,True,True,False,0
232,numerical substitution,104,132,94.,120.,False,False,False,0
240,numerical substitution,109,100,109.,100.,True,True,False,0
248,numerical substitution,80,94,80.,90.67,True,False,False,1
256,numerical substitution,35,50.4,35,50.4,True,True,False,0
264,numerical substitution,70,95,70,95,True,True,False,0
272,numerical substitution,23,29,23,29,True,True,False,0
280,numerical substitution,9,15,9,15,True,True,False,0
288,numerical substitution,75,72,75,72,True,True,False,0
296,numerical substitution,2,8,4,15,False,False,False,0
304,numerical substitution,10,8,7,8,False,True,False,-1
312,numerical substitution,18,54,18,54,True,True,False,0
320,numerical substitution,8,12,8,12,True,True,False,0
328,numerical substitution,200,2000,200,0,True,False,False,1
336,numerical substitution,26,38,26,38,True,True,False,0
344,numerical substitution,48,40,240,2000,False,False,False,0
352,numerical substitution,20,36,-180.00,36,False,True,False,-1
360,numerical substitution,104,96,120,48,False,False,False,0
368,numerical substitution,163,195,163,195,True,True,False,0
376,numerical substitution,800,1830,800,1410,True,False,False,1
384,numerical substitution,8,10,8,10,True,True,False,0
392,numerical substitution,30,32,30,32,True,True,False,0
1,digit expansion,18,18624,18,18624,True,True,False,0
9,digit expansion,3,300,3,400,True,False,False,1
17,digit expansion,70000,700000,65000,700000.,False,True,False,-1
25,digit expansion,540,54000,180,54000,False,True,False,-1
33,digit expansion,20,2000,25,15,False,False,False,0
41,digit expansion,64,6400,64.,6400.,True,True,False,0
49,digit expansion,260,26000,260,26000,True,True,False,0
57,digit expansion,160,340,100,20,False,False,False,0
65,digit expansion,45,450,315,40,False,False,False,0
73,digit expansion,460,4600,460.,4600.,True,True,False,0
81,digit expansion,366,36600,366,36600,True,True,False,0
89,digit expansion,694,69400,100.,40.,False,False,False,0
97,digit expansion,13,1,12,1,False,True,False,-1
105,digit expansion,18,180,18,120,True,False,False,1
113,digit expansion,60,60,60,60,True,True,True,0
121,digit expansion,125,1250,125.,1250.,True,True,False,0
129,digit expansion,230,1600,2,1600,False,True,False,-1
137,digit expansion,57500,575000,57500.,11500.,True,False,False,1
145,digit expansion,7,21,4,12,False,False,False,0
153,digit expansion,6,6,4,120,False,False,False,0
161,digit expansion,15,150,3,143.33,False,False,False,0
169,digit expansion,14,24,14,8,True,False,False,1
177,digit expansion,7,70,7,2,True,False,False,1
185,digit expansion,8,8,00,00,False,False,True,0
193,digit expansion,26,260,26.,260.,True,True,False,0
201,digit expansion,2,10,5,2,False,False,False,0
209,digit expansion,243,2430,243.,2430.,True,True,False,0
217,digit expansion,16,480,60,600,False,False,False,0
225,digit expansion,25,65,25,65,True,True,False,0
233,digit expansion,104,10400,94.,10400.,False,True,False,-1
241,digit expansion,109,1000,109.,1000.,True,True,False,0
249,digit expansion,80,800,80.,800.,True,True,False,0
257,digit expansion,35,35,35,35,True,True,True,0
265,digit expansion,70,700,70,700,True,True,False,0
273,digit expansion,23,230,23,230,True,True,False,0
281,digit expansion,9,90,9,90,True,True,False,0
289,digit expansion,75,50,75.00,30,False,False,False,0
297,digit expansion,2,23,4,23,False,True,False,-1
305,digit expansion,10,5,7,1.67,False,False,False,0
313,digit expansion,18,36,18,42,True,False,False,1
321,digit expansion,8,12,8,24,True,False,False,1
329,digit expansion,200,2000,200,2000,True,True,False,0
337,digit expansion,26,86,26,24,True,False,False,1
345,digit expansion,48,80,240,80,False,True,False,-1
353,digit expansion,20,200,-180.00,200.00,False,False,False,0
361,digit expansion,104,104,120,140,False,False,False,0
369,digit expansion,163,16300,163,16300,True,True,False,0
377,digit expansion,800,8000,800,8000,True,True,False,0
385,digit expansion,8,80,8,80,True,True,False,0
393,digit expansion,30,3000,30,3000,True,True,False,0
2,integer-decimal-fraction conversion,18,14.4,18,14.40,True,True,False,0
10,integer-decimal-fraction conversion,3,3,3,3,True,True,True,0
18,integer-decimal-fraction conversion,70000,70000,65000,65000,False,False,True,0
26,integer-decimal-fraction conversion,540,540,180,180,False,False,True,0
34,integer-decimal-fraction conversion,20,20,25,125,False,False,False,0
42,integer-decimal-fraction conversion,64,70.4,64.,16,True,False,False,1
50,integer-decimal-fraction conversion,260,260,260,260,True,True,True,0
58,integer-decimal-fraction conversion,160,160,100,12,False,False,False,0
66,integer-decimal-fraction conversion,45,35,315,175,False,False,False,0
74,integer-decimal-fraction conversion,460,483,460.,483.,True,True,False,0
82,integer-decimal-fraction conversion,366,417,366,417,True,True,False,0
90,integer-decimal-fraction conversion,694,699.5,100.,70.,False,False,False,0
98,integer-decimal-fraction conversion,13,14,12,13,False,False,False,0
106,integer-decimal-fraction conversion,18,18,18,18,True,True,True,0
114,integer-decimal-fraction conversion,60,60,60,60,True,True,True,0
122,integer-decimal-fraction conversion,125,125,125.,221.,True,False,False,1
130,integer-decimal-fraction conversion,230,230,2,00,False,False,False,0
138,integer-decimal-fraction conversion,57500,58750,57500.,58750.,True,True,False,0
146,integer-decimal-fraction conversion,7,21,4,21,False,True,False,-1
154,integer-decimal-fraction conversion,6,7,4,7,False,True,False,-1
