id,perturbation_type,original_answer,perturbed_answer,original_pred,perturbed_pred,original_correct,perturbed_correct,consistent,pdr
0,numerical substitution,18,27,18,27,True,True,False,0
8,numerical substitution,3,4.5,3,6,True,False,False,1
16,numerical substitution,70000,75000,150000.,165000,False,False,False,0
24,numerical substitution,540,1600,180,100,False,False,False,0
32,numerical substitution,20,50,30,50,False,True,False,-1
40,numerical substitution,64,90,64.,1,True,False,False,1
48,numerical substitution,260,195,260.,195,True,True,False,0
56,numerical substitution,160,180,140,130,False,False,False,0
64,numerical substitution,45,230,19,230,False,True,False,-1
72,numerical substitution,460,862.5,460.,1875.,True,False,False,1
80,numerical substitution,366,656,366,656,True,True,False,0
88,numerical substitution,694,855,40,40,False,False,True,0
96,numerical substitution,13,17,12,16,False,False,False,0
104,numerical substitution,18,18,18,24,True,False,False,1
112,numerical substitution,60,56,60,56,True,True,False,0
120,numerical substitution,125,245,125.,245.,True,True,False,0
128,numerical substitution,230,180,250,180,False,True,False,-1
136,numerical substitution,57500,65250,57500.,65250.,True,True,False,0
144,numerical substitution,7,3.5,7,50,True,False,False,1
152,numerical substitution,6,11,12,20,False,False,False,0
160,numerical substitution,15,30,15,3,True,False,False,1
168,numerical substitution,14,18,8,2,False,False,False,0
176,numerical substitution,7,12,7,12,True,True,False,0
184,numerical substitution,8,12,00,00,False,False,True,0
192,numerical substitution,26,22.5,26.,22.50,True,True,False,0
200,numerical substitution,2,4,60,1,False,False,False,0
208,numerical substitution,243,321,243.,321.,True,True,False,0
216,numerical substitution,16,25,60,225.00,False,False,False,0
224,numerical substitution,25,15,25,15,True,True,False,0
232,numerical substitution,104,132,94.,132.,False,True,False,-1
240,numerical substitution,109,100,109.,100.,True,True,False,0
248,numerical substitution,80,94,80.,90.67,True,False,False,1
256,numerical substitution,35,50.4,35,50.4,True,True,False,0
264,numerical substitution,70,95,70,95,True,True,False,0
272,numerical substitution,23,29,23,29,True,True,False,0
280,numerical substitution,9,15,9,15,True,True,False,0
288,numerical substitution,75,72,75.00,20,False,False,False,0
296,numerical substitution,2,8,4,15,False,False,False,0
304,numerical substitution,10,8,6.67,1.15,False,False,False,0
312,numerical substitution,18,54,18,54,True,True,False,0
320,numerical substitution,8,12,8,12,True,True,False,0
328,numerical substitution,200,2000,200,3500,True,False,False,1
336,numerical substitution,26,38,26.,38,True,True,False,0
344,numerical substitution,48,40,240,600,False,False,False,0
352,numerical substitution,20,36,200.00,0.0,False,False,False,0
360,numerical substitution,104,96,120,96,False,True,False,-1
368,numerical substitution,163,195,163,195,True,True,False,0
376,numerical substitution,800,1830,800,900,True,False,False,1
384,numerical substitution,8,10,8,10,True,True,False,0
392,numerical substitution,30,32,30.,32,True,True,False,0
1,digit expansion,18,18624,18,18624.,True,True,False,0
9,digit expansion,3,300,3,400,True,False,False,1
17,digit expansion,70000,700000,150000.,1950000.,False,False,False,0
